AreaSize,ID,Sex,Japanese,Math,Science
,477,2,85,69,76
,478,2,91,86,76
,479,1,79,44,40
,480,2,70,64,20
,481,2,64,33,40
,482,1,58,39,24
,483,2,97,72,96
,484,1,67,47,40
,485,1,45,19,12
,486,1,91,47,64
,487,2,97,78,80
,488,1,91,50,56
,489,1,76,42,20
,490,2,85,42,68
,491,1,79,81,68
,492,2,70,58,40
,493,1,76,89,72
,494,2,79,,56
,495,2,73,58,48
,496,2,82,78,64
,497,1,67,56,36
,498,2,79,78,52
,499,1,94,83,52
,500,2,85,75,48
,501,2,76,69,64
,502,2,70,64,44
,503,2,88,83,44
,504,1,45,31,36
,505,2,73,50,52
,506,2,76,42,48
,507,1,91,92,56
,508,2,85,61,52
,509,2,85,83,48
,510,2,85,94,96
,511,1,70,42,20
,512,1,70,56,36
,513,1,88,67,64
,514,2,42,14,12
,515,1,91,78,72
,516,1,73,47,44
,517,1,97,83,92
,518,1,91,83,88
,519,1,85,78,64
,520,2,85,64,68
,521,2,76,75,68
,522,1,70,53,48
,523,1,70,83,40
,524,2,82,64,36
,525,1,64,75,36
,526,1,88,75,64
,527,1,79,64,80
,528,2,82,53,44
,529,2,85,39,24
,530,2,97,86,88
,531,2,64,50,44
,532,1,79,81,76
,533,1,88,61,48
,534,1,88,89,76
,535,2,76,69,48
,536,1,79,72,88
,537,2,70,53,64
,538,2,88,69,52
,539,1,88,78,56
,540,1,76,50,48
,541,1,76,67,48
,542,2,79,61,80
,543,1,88,86,60
,544,2,88,86,52
,545,2,42,31,8
,546,1,73,47,24
,547,2,67,56,36
,548,2,88,78,68
,549,2,85,58,32
,550,1,97,83,96
,551,1,64,58,40
,552,1,64,31,60
,553,2,48,50,12
,554,1,61,58,56
,555,2,70,56,32
,556,1,79,39,16
,557,1,79,72,60
,558,2,70,86,68
,559,1,82,89,68
,560,2,45,22,8
,561,1,79,78,44
,562,2,67,47,16
,563,2,70,58,76
,564,1,36,31,28
,565,1,55,72,40
,566,1,70,64,60
,567,2,91,72,56
,568,2,70,69,40
,569,2,79,50,48
,570,2,48,33,44
,571,2,85,64,40
,572,2,70,61,40
,573,2,64,33,28
,574,2,82,81,76
,575,1,67,50,40
,576,1,36,25,16
,577,1,64,75,52
,578,2,85,78,80
,579,1,91,69,56
,580,1,55,42,40
,581,1,76,69,24
,582,2,79,56,48
,583,1,88,78,76
,584,2,58,33,16
,585,2,88,94,72
,586,2,79,89,64
,587,2,76,39,60
,588,2,76,33,28
,589,1,100,100,100
,590,1,79,78,80
,591,2,70,53,60
,592,2,70,50,44
,593,2,91,83,64
,594,2,70,33,36
,595,1,67,53,72
,596,2,73,72,52
,597,2,70,69,52
,598,1,42,36,36
,599,1,61,47,32
,600,2,85,64,60
,601,2,76,50,44
,602,2,91,86,68
,603,2,91,58,44
,604,2,82,81,80
,605,1,85,78,68
,606,2,61,67,48
,607,2,94,92,76
,608,1,67,69,40
,609,2,76,61,40
,610,1,79,69,44
,611,1,70,58,44
,612,2,73,89,56
,613,1,97,94,88
,614,2,88,72,32
,615,2,61,22,32
,616,2,88,89,88
,617,2,61,72,48
,618,2,94,97,92
,619,1,97,92,72
,620,1,58,53,52
,621,2,73,36,20
,622,1,58,72,64
,623,2,91,81,84
,624,1,94,97,84
,625,1,64,47,40
,626,2,70,81,52
,627,2,82,86,84
,628,2,58,44,44
,629,1,79,61,68
,630,1,70,56,52
,631,2,97,75,84
,632,1,76,67,76
,633,1,67,67,40
,634,1,91,94,80
,635,1,79,72,68
,636,1,91,56,68
,637,1,70,67,60
,638,2,82,44,36
,639,1,100,86,88
,640,2,73,83,64
,641,2,88,58,
,642,1,88,81,76
,643,2,94,83,68
,644,2,79,31,36
,645,1,91,83,76
,646,1,73,64,52
,647,1,73,44,60
,648,1,33,31,24
,649,1,97,67,80
,650,2,55,67,60
,651,1,76,61,60
,652,2,91,94,56
,653,2,73,56,48
,654,1,88,69,68
,655,1,76,67,80
,656,1,88,86,84
,657,1,91,86,84
,658,1,97,83,92
,659,1,91,44,48
,660,1,76,69,48
,661,1,97,75,64
,662,2,67,61,36
,663,2,70,64,76
,664,1,58,53,52
,665,2,48,42,32
,666,1,55,39,16
,667,2,94,81,80
,668,1,73,69,56
,669,2,52,78,44
,670,2,45,31,16
,671,1,91,78,84
,672,2,52,42,40
,673,2,73,44,48
,674,2,70,61,44
,675,2,88,72,64
,676,1,79,69,60
,677,2,88,81,88
,678,2,61,44,28
,679,1,79,75,64
,680,1,79,53,28
,681,1,76,78,48
,682,2,91,97,92
,683,2,85,67,64
,684,2,88,89,64
,685,2,64,58,60
,686,2,94,89,44
,687,1,67,53,32
,688,2,85,78,56
,689,1,79,81,64
,690,1,82,89,64
,691,2,73,31,20
,692,1,85,81,72
,693,2,85,67,60
,694,2,64,53,28
,695,1,94,81,52
,696,2,94,92,60
,697,1,91,89,84
,698,2,73,64,52
,699,2,70,64,56
,700,2,91,75,44
,701,1,67,39,56
,702,1,82,64,56
,703,1,94,83,72
,704,1,85,78,60
,705,1,82,92,80
,706,2,64,67,72
,707,1,91,47,28
,708,1,97,89,88
,709,1,85,56,76
,710,2,91,86,60
,711,2,52,42,24
,712,2,97,86,76
,713,2,64,47,28
,714,1,82,72,52
,715,1,45,36,52
,716,2,64,78,36
,717,2,79,58,60
,718,2,82,78,48
,719,2,67,53,68
,720,1,88,61,68
,721,1,91,78,88
,722,2,88,75,44
,723,1,88,69,60
,724,1,76,72,60
,725,1,85,81,56
,726,2,91,81,72
,727,1,67,56,60
,728,2,67,61,44
,729,2,88,83,72
,730,2,76,64,64
,731,1,61,42,36
,732,2,48,28,28
,733,2,91,78,92
,734,2,88,94,60
,735,1,85,83,76
,736,1,58,58,40
,737,2,82,75,52
,738,2,61,61,44
,739,2,70,53,56
,740,1,73,86,56
,741,2,64,61,56
,742,1,64,56,52
,743,1,85,78,52
,744,1,79,61,60
,745,1,85,67,56
,746,2,73,42,64
,747,1,79,64,40
,748,1,100,92,84
,749,1,70,50,48
,750,1,73,58,64
,751,2,94,89,76
,752,1,82,67,60
,753,1,97,94,84
,754,2,73,36,28
,755,1,52,67,52
,756,2,82,58,68
,757,2,79,69,44
,758,2,52,36,28
,759,1,55,31,24
,760,1,61,56,36
,761,1,82,61,48
,762,1,73,53,32
,763,1,73,56,48
,764,2,58,33,12
,765,1,39,39,36
,766,2,61,36,44
,767,2,76,75,60
,768,2,91,97,88
,769,2,76,50,48
,770,2,76,67,60
,771,1,88,61,60
,772,1,67,31,44
,773,1,79,44,28
,774,1,85,64,40
,775,2,85,81,52
,776,1,88,75,92
,777,2,61,67,48
,778,1,82,75,72
,779,1,82,83,64
,780,1,64,58,44
,781,1,94,69,76
,782,1,91,61,76
,783,1,85,72,76
,784,1,76,69,56
,785,1,73,67,56
,786,2,73,72,56
,787,1,58,39,16
,788,2,67,72,76
,789,1,79,89,68
,790,1,91,92,56
,791,2,82,92,84
,792,1,91,94,76
,793,2,30,25,28
,794,2,48,31,24
,795,1,82,75,60
,796,1,88,61,44
,797,2,88,86,84
,798,2,52,42,16
,799,2,39,67,24
,800,1,48,50,20
,801,2,79,81,68
,802,1,73,58,44
,803,2,76,67,52
,804,2,97,94,96
,805,1,67,56,32
,806,2,88,75,64
,807,1,88,58,56
,808,1,73,56,28
,809,1,52,8,20
,810,1,73,,76
,811,2,73,53,56
,812,2,79,72,48
,813,1,85,81,72
,814,2,73,75,56
,815,1,82,78,56
,816,2,67,44,60
,817,1,94,94,88
,818,1,85,75,64
,819,1,61,75,28
,820,1,36,33,16
,821,2,88,89,72
,822,2,64,31,8
,823,1,64,56,36
,824,1,48,36,28
,825,1,70,75,48
,826,1,79,83,44
,827,1,88,64,60
,828,2,88,64,64
,829,1,94,78,84
,830,1,79,78,56
,831,2,70,72,52
,832,1,79,89,76
,833,2,82,75,72
,834,1,67,78,76
,835,1,94,69,48
,836,2,67,78,64
,837,2,76,86,60
,838,1,97,89,60
,839,2,64,39,64
,840,2,88,69,52
,841,1,79,42,32
,842,2,70,72,64
,843,1,61,75,48
,844,1,88,58,56
,845,2,88,86,48
,846,1,91,56,40
,847,1,88,83,64
,848,1,85,83,72
,849,1,79,56,40
,850,2,94,83,72
,851,2,97,89,76
,852,2,94,56,76
,853,1,82,33,40
,854,1,73,61,44
,855,2,97,94,92
,856,1,55,53,52
,857,2,79,81,80
,858,1,94,89,84
,859,2,76,69,48
,860,2,79,44,60
,861,1,82,61,28
,862,1,39,39,28
,863,2,70,69,60
,864,2,79,78,44
,865,1,82,67,68
,866,2,76,53,52
,867,1,88,64,68
,868,2,82,47,44
,869,1,58,61,64
,870,2,73,81,76
,871,2,64,72,68
,872,1,85,81,52
,873,2,42,42,36
,874,2,82,94,76
,875,2,85,69,48
,876,2,79,61,44
,877,1,79,47,60
,878,1,64,69,72
,879,1,58,53,36
,880,2,76,44,52
,881,2,73,78,52
,882,2,33,36,40
,883,1,94,47,48
,884,1,67,64,44
,885,2,61,50,48
,886,1,76,69,52
,887,2,64,69,56
,888,2,79,78,60
,889,2,67,64,36
,890,2,70,53,48
,891,1,88,83,88
,892,1,85,69,72
,893,2,85,72,56
,894,1,79,92,84
,895,1,61,61,44
,896,2,55,61,28
,897,1,79,53,20
,898,1,91,92,76
,899,1,73,53,48
,900,1,64,61,56
,901,2,42,36,40
,902,2,76,78,64
,903,1,100,89,88
,904,2,94,78,68
,905,1,55,47,44
,906,1,73,61,36
,907,1,82,56,56
,908,1,58,28,36
,909,2,70,83,60
,910,1,73,69,44
,911,2,82,56,40
,912,1,85,64,56
,913,1,91,72,84
,914,1,70,56,60
,915,1,70,56,40
,916,2,82,75,52
,917,2,64,53,52
,918,1,82,47,16
,919,2,76,78,80
,920,2,82,75,72
,921,1,85,67,56
,922,1,76,75,72
,923,2,70,53,20
,924,1,88,92,84
,925,2,61,22,44
,926,1,73,53,56
,927,1,55,44,32
,928,1,85,69,64
,929,2,85,42,40
,930,2,70,28,36
,931,,85,67,68
,932,2,61,64,56
,933,2,52,42,56
,934,1,76,75,68
,935,2,88,61,56
,936,1,70,58,92
,937,1,88,75,68
,938,2,91,69,40
,939,1,82,69,44
,940,2,27,19,32
,941,1,55,56,44
,942,2,82,81,60
,943,1,91,86,84
,944,2,61,56,60
,945,2,67,36,48
,946,1,82,67,44
,947,2,79,89,60
,948,1,76,33,32
,949,2,58,31,32
,950,1,61,28,16
,951,1,82,86,72
,952,2,85,64,64
,953,2,82,75,52
,954,1,85,61,36
,955,2,73,81,36
,956,2,94,89,56
,957,1,76,56,44
,958,2,85,86,56
,959,2,70,67,52
,960,2,73,61,60
,961,1,67,56,72
,962,2,70,50,60
,963,2,79,81,56
,964,1,70,58,36
,965,1,73,47,36
,966,2,79,61,64
,967,1,58,36,40
,968,1,94,83,76
,969,1,64,25,48
,970,1,91,83,64
,971,2,61,67,40
,972,1,85,75,52
,973,2,61,50,48
,974,1,88,72,64
,975,1,61,44,20
,976,1,88,67,68
,977,2,97,81,72
,978,1,97,92,80
,979,2,85,69,72
,980,1,67,56,64
,981,1,91,97,88
,982,2,70,58,36
,983,1,79,81,48
,984,2,52,47,44
,985,2,61,53,32
,986,1,52,44,12
,987,1,67,58,40
,988,2,79,69,84
,989,2,33,28,24
,990,2,91,58,40
,991,2,88,78,76
,992,1,48,50,40
,993,2,67,72,56
,994,1,88,86,68
,995,2,79,86,92
,996,2,58,56,44
,997,1,88,67,52
,998,1,85,78,80
,999,1,73,72,20
,1000,1,64,67,48
,1001,2,88,72,64
,1002,2,48,56,24
,1003,1,55,64,48
,1004,1,76,56,48
,1005,1,58,47,44
,1006,1,73,81,76
,1007,1,52,33,48
,1008,2,100,89,84
,1009,2,88,47,68
,1010,2,55,53,48
,1011,1,64,53,40
,1012,1,58,28,16
,1013,1,85,56,32
,1014,2,39,33,4
,1015,2,64,56,40
,1016,2,67,25,24
,1017,1,97,67,76
,1018,1,76,58,32
,1019,1,85,83,60
,1020,1,82,67,68
,1021,2,85,78,72
,1022,2,76,64,60
,1023,2,76,72,76
,1024,2,70,69,48
,1025,2,94,92,72
,1026,2,76,81,56
,1027,1,64,72,24
,1028,1,76,83,52
,1029,1,94,86,68
,1030,2,67,53,28
,1031,1,73,83,68
,1032,2,73,28,40
,1033,2,79,78,68
,1034,1,48,36,36
,1035,1,94,72,84
,1036,1,91,86,72
,1037,2,79,56,72
,1038,2,82,72,68
,1039,2,94,89,92
,1040,1,88,72,80
,1041,1,82,75,56
,1042,2,91,83,92
,1043,2,48,28,36
,1044,2,91,81,84
,1045,1,85,78,60
,1046,1,64,69,56
,1047,2,82,61,56
,1048,1,58,50,36
,1049,1,91,69,60
,1050,1,79,67,36
,1051,2,61,31,36
,1052,2,64,36,32
,1053,1,70,64,32
,1054,1,76,94,76
,1055,1,70,72,60
,1056,1,88,83,68
,1057,2,36,31,16
,1058,2,73,78,64
,1059,2,73,53,60
,1060,2,88,75,68
,1061,1,42,42,36
,1062,2,73,58,48
,1063,1,45,42,32
,1064,1,82,89,80
,1065,2,42,53,28
,1066,2,61,36,48
,1067,2,70,69,52
,1068,1,48,28,32
,1069,2,97,86,80
,1070,1,94,94,84
,1071,1,76,81,60
,1072,1,97,72,72
,1073,2,82,72,56
,1074,1,76,72,48
,1075,2,79,58,28
,1076,2,91,89,88
,1077,2,61,28,44
,1078,2,73,42,24
,1079,2,91,92,68
,1080,2,70,67,76
,1081,1,55,50,64
,1082,2,79,44,36
,1083,1,97,78,64
,1084,1,76,39,52
,1085,1,76,53,52
,1086,2,36,17,8
,1087,2,91,78,60
,1088,2,76,86,64
,1089,1,91,86,88
,1090,1,52,56,52
,1091,1,85,83,72
,1092,2,82,75,72
,1093,1,67,47,44
,1094,1,94,97,92
,1095,2,67,50,36
,1096,1,76,81,56
,1097,1,45,25,36
,1098,1,82,36,40
